Bin	Probability
256.62131455306263	0.00125
769.863943659188	0.00175
1283.106572765313	0.00225
1796.3492018714385	0.00295
2309.5918309775634	0.00425
2822.834460083689	0.0049
3336.0770891898146	0.0053
3849.3197182959393	0.0061
4362.562347402065	0.0064
4875.8049765081905	0.006
5389.047605614315	0.0063
5902.290234720441	0.00795
6415.5328638265655	0.00795
6928.775492932691	0.008
7442.018122038817	0.0095
7955.260751144941	0.00925
8468.503380251066	0.00925
8981.746009357194	0.01045
9494.988638463317	0.01095
10008.231267569441	0.0112
10521.473896675569	0.0115
11034.716525781692	0.01255
11547.95915488782	0.01235
12061.201783993944	0.01275
12574.44441310007	0.01425
13087.687042206195	0.01415
13600.929671312319	0.0144
14114.172300418446	0.01505
14627.41492952457	0.0147
15140.657558630695	0.01535
15653.900187736821	0.01555
16167.142816842945	0.0169
16680.38544594907	0.01725
17193.628075055196	0.0168
17706.870704161323	0.0171
18220.113333267447	0.0175
18733.35596237357	0.01735
19246.5985914797	0.0191
19759.841220585822	0.0173
20273.083849691946	0.01935
20786.326478798073	0.02065
21299.5691079042	0.02
21812.81173701032	0.0181
22326.05436611645	0.01735
22839.296995222576	0.01485
23352.5396243287	0.0175
23865.782253434823	0.0166
24379.02488254095	0.0158
24892.26751164708	0.01455
25405.5101407532	0.0142
25918.752769859326	0.01415
26431.995398965453	0.0148
26945.238028071577	0.01495
27458.4806571777	0.01475
27971.72328628383	0.01305
28484.965915389952	0.01315
28998.208544496076	0.0135
29511.451173602203	0.01315
30024.69380270833	0.0131
30537.93643181445	0.01265
31051.17906092058	0.01235
31564.421690026706	0.0112
32077.66431913283	0.01245
32590.906948238953	0.01255
33104.14957734508	0.01105
33617.3922064512	0.01045
34130.63483555733	0.0105
34643.877464663456	0.0093
35157.12009376958	0.01015
35670.36272287571	0.00925
36183.60535198183	0.00855
36696.84798108796	0.00785
37210.09061019408	0.00785
37723.333239300206	0.0058
38236.57586840633	0.00645
38749.81849751246	0.0076
39263.06112661858	0.00655
39776.30375572471	0.00595
40289.546384830835	0.00575
40802.789013936956	0.00465
41316.03164304308	0.006
41829.27427214921	0.00445
42342.51690125534	0.00425
42855.75953036146	0.00385
43369.002159467585	0.0034
43882.244788573706	0.00365
44395.48741767983	0.003
44908.73004678596	0.0031
45421.97267589209	0.0027
45935.215304998215	0.00325
46448.457934104335	0.0026
46961.70056321046	0.00255
47474.94319231658	0.00245
47988.18582142271	0.00255
48501.42845052884	0.0022
49014.671079634965	0.0021
49527.91370874109	0.0015
50041.15633784721	0.00205
50554.39896695334	0.00155
51067.64159605946	0.0016
51580.88422516559	0.0019
52094.126854271715	0.0013
52607.36948337784	0.00115
53120.61211248396	9.0E-4
53633.85474159009	9.5E-4
54147.09737069622	7.0E-4
54660.33999980234	5.5E-4
55173.582628908465	9.0E-4
55686.82525801459	0.00105
56200.06788712072	6.0E-4
56713.31051622684	5.5E-4
57226.55314533297	2.5E-4
57739.79577443909	3.5E-4
58253.038403545215	4.0E-4
58766.28103265134	6.0E-4
59279.52366175747	2.5E-4
59792.7662908636	5.5E-4
60306.00891996972	2.5E-4
60819.251549075845	2.0E-4
61332.494178181965	3.0E-4
61845.73680728809	2.0E-4
62358.97943639422	1.5E-4
62872.22206550035	1.0E-4
63385.46469460647	1.5E-4
63898.707323712595	5.0E-5
64411.94995281872	1.0E-4
64925.19258192484	5.0E-5
65438.43521103097	0.0
65951.6778401371	5.0E-5
66464.92046924322	5.0E-5
66978.16309834935	5.0E-5
67491.40572745548	0.0
68004.64835656159	5.0E-5
68517.89098566772	1.0E-4
69031.13361477385	0.0
69544.37624387997	0.0
70057.6188729861	0.0
70570.86150209223	5.0E-5
71084.10413119834	0.0
71597.34676030447	0.0
72110.5893894106	5.0E-5
